A1BG-AS1__chr19	NR_015380__chr19__1
ADAM5__chr8_KI270822v1_alt	NR_001448__chr8_KI270822v1_alt__1
ADAM6__chr14	NR_002224__chr14__1
ADAM6__chr14_KI270846v1_alt	NR_002224__chr14_KI270846v1_alt__1
ADAM7__chr8	NM_003817__chr8__1
ADAM8__chr10	NM_001109__chr10__1|NM_001164489__chr10__1|NM_001164490__chr10__1
ADAM9__chr8	NM_003816__chr8__1|NR_027638__chr8__1|NR_027639__chr8__1|NR_027878__chr8__1
ADAM9__chr8_KI270822v1_alt	NM_003816__chr8_KI270822v1_alt__1|NR_027638__chr8_KI270822v1_alt__1|NR_027639__chr8_KI270822v1_alt__1|NR_027878__chr8_KI270822v1_alt__1
ADAMDEC1__chr8	NM_001145271__chr8__1|NM_001145272__chr8__1|NM_014479__chr8__1
ADAMTS10__chr19	NM_001282352__chr19__1|NM_030957__chr19__1
ADAMTS12__chr5	NM_030955__chr5__1
ADAMTS13__chr9	NR_024514__chr9__1|NM_139025__chr9__1|NM_139026__chr9__1|NM_139027__chr9__1
ADAMTS14__chr10	NM_080722__chr10__1|NM_139155__chr10__1
ADAMTS15__chr11	NM_139055__chr11__1
ADAMTS16__chr5	NM_139056__chr5__1
ADAMTS17__chr15	NM_139057__chr15__1
ADAMTS18__chr16	NM_199355__chr16__1
ADAMTS19-AS1__chr5	NR_125748__chr5__1
ADAMTS19__chr5	NM_133638__chr5__1
ADAMTS1__chr21	NM_006988__chr21__1
ADAMTS20__chr12	NM_025003__chr12__1
ADAMTS2__chr5	NM_014244__chr5__1|NM_021599__chr5__1
ADAMTS3__chr4	NM_014243__chr4__1
ADAMTS4__chr1	NM_001320336__chr1__1|NM_005099__chr1__1
ADAMTS5__chr21	NM_007038__chr21__1
ADAMTS6__chr5	NM_197941__chr5__1|NR_135689__chr5__1
ADAMTS7P1__chr15	NR_045529__chr15__1
ADAMTS7P1__chr15_KI270850v1_alt	NR_045529__chr15_KI270850v1_alt__1
ADAMTS7__chr15	NM_014272__chr15__1
ADAMTS8__chr11	NM_007037__chr11__1
ADAMTS9-AS1__chr3	NR_110150__chr3__1|NR_110151__chr3__1
ADAMTS9-AS2__chr3	NR_038264__chr3__1
ADAMTS9__chr3	NM_001318781__chr3__1|NM_182920__chr3__1
ADAMTSL1__chr9	NM_001040272__chr9__1|NM_052866__chr9__1
ADAMTSL2__chr9	NM_001145320__chr9__1|NM_014694__chr9__1
ADAMTSL3__chr15	NM_001301110__chr15__1|NM_207517__chr15__1
ADAMTSL4-AS1__chr1	NR_104133__chr1__1
ADAMTSL4__chr1	NM_025008__chr1__1|NM_001288607__chr1__1|NM_001288608__chr1__1|NM_019032__chr1__1
ADAMTSL5__chr19	NM_213604__chr19__1
ADAP1__chr7	NM_001284311__chr7__1|NM_001284310__chr7__1|NM_001284309__chr7__1|NM_006869__chr7__1|NM_001284308__chr7__1
ADAP2__chr17	NM_018404__chr17__1
ADARB1__chr21	NM_001112__chr21__1|NM_001160230__chr21__1|NM_015833__chr21__1|NM_015834__chr21__1|NR_027672__chr21__1|NR_027673__chr21__1|NR_027674__chr21__1|NR_073200__chr21__1
ADARB2-AS1__chr10	NR_033387__chr10__1
ADARB2__chr10	NM_018702__chr10__1
ADAR__chr1	NM_001193495__chr1__1|NM_001111__chr1__1|NM_015840__chr1__1|NM_015841__chr1__1|NM_001025107__chr1__1
ADAT1__chr16	NR_036460__chr16__1|NM_001324444__chr16__1|NM_001324445__chr16__1|NM_001324446__chr16__1|NM_001324448__chr16__1|NM_001324449__chr16__1|NM_001324450__chr16__1|NM_001324451__chr16__1|NM_001324452__chr16__1|NM_001324453__chr16__1|NM_012091__chr16__1
ADAT2__chr6	NM_001286259__chr6__1|NM_182503__chr6__1
ADAT3__chr19	NM_138422__chr19__1
ADA__chr20	NM_000022__chr20__1|NM_001322050__chr20__1|NM_001322051__chr20__1|NR_136160__chr20__1
ADCK1__chr14	NM_001142545__chr14__1|NM_020421__chr14__1
ADCK2__chr7	NM_052853__chr7__1
ADCK3__chr1	NM_020247__chr1__1
ADCK4__chr19	NM_001142555__chr19__1|NM_024876__chr19__1
ADCK5__chr8	NM_174922__chr8__1
ADCY10P1__chr6	NR_026938__chr6__1
ADCY10__chr1	NM_001167749__chr1__1|NM_001297772__chr1__1|NM_018417__chr1__1
ADCY1__chr7	NM_001281768__chr7__1|NM_021116__chr7__1
ADCY2__chr5	NM_020546__chr5__1
ADCY3__chr2	NM_001320613__chr2__1|NM_004036__chr2__1
ADCY4__chr14	NM_001198568__chr14__1|NM_001198592__chr14__1|NM_139247__chr14__1
ADCY5__chr3	NM_001199642__chr3__1|NM_183357__chr3__1
ADCY6__chr12	NM_015270__chr12__1
ADCY7__chr16	NM_001286057__chr16__1|NM_001114__chr16__1
ADCY8__chr8	NM_001115__chr8__1
ADCY9__chr16	NM_001116__chr16__1
ADCYAP1R1__chr7	NM_001118__chr7__1|NM_001199635__chr7__1|NM_001199636__chr7__1|NM_001199637__chr7__1
ADCYAP1__chr18	NM_001099733__chr18__1|NM_001117__chr18__1
ADD1__chr4	NM_001119__chr4__1|NM_014189__chr4__1|NM_014190__chr4__1|NM_176801__chr4__1|NM_001286645__chr4__1
ADD2__chr2	NM_001185054__chr2__1|NM_001617__chr2__1|NM_017488__chr2__1|NM_001185055__chr2__1|NM_017482__chr2__1
ADD3-AS1__chr10	NR_038943__chr10__1
ADD3__chr10	NM_001320591__chr10__1|NM_001320592__chr10__1|NM_001320593__chr10__1|NM_019903__chr10__1|NM_001121__chr10__1|NM_001320594__chr10__1|NM_016824__chr10__1
ADGB__chr6	NM_024694__chr6__1
ADGRA1-AS1__chr10	NR_111905__chr10__1
ADGRA1__chr10	NM_001083909__chr10__1|NM_001291085__chr10__1
ADGRA2__chr8	NM_032777__chr8__1
ADGRA3__chr4	NM_145290__chr4__1
ADGRB1__chr8	NM_001702__chr8__1
ADGRB2__chr1	NM_001294335__chr1__1|NM_001294336__chr1__1
ADGRB3__chr6	NM_001704__chr6__1
ADGRD1__chr12	NM_198827__chr12__1
ADGRE1__chr19	NM_001256252__chr19__1|NM_001256253__chr19__1|NM_001256254__chr19__1|NM_001256255__chr19__1|NM_001974__chr19__1
ADGRE2__chr19	NM_001271052__chr19__1|NM_013447__chr19__1
ADGRE3__chr19	NM_001289158__chr19__1|NM_001289159__chr19__1|NM_032571__chr19__1
ADGRE4P__chr19	NR_024075__chr19__1
ADGRE5__chr19	NM_001025160__chr19__1|NM_001784__chr19__1|NM_078481__chr19__1
ADGRF1__chr6	NM_153840__chr6__1|NM_025048__chr6__1
ADGRF2__chr6	NM_153839__chr6__1
ADGRF3__chr2	NM_153835__chr2__1|NM_001321975__chr2__1|NM_001321971__chr2__1|NR_135916__chr2__1|NM_001145169__chr2__1|NM_001145168__chr2__1
ADGRF4__chr6	NM_153838__chr6__1
ADGRF5__chr6	NM_015234__chr6__1|NM_001098518__chr6__1
ADGRG1__chr16	NM_001290142__chr16__1|NM_001290143__chr16__1|NM_001145770__chr16__1|NM_005682__chr16__1|NM_001145771__chr16__1|NM_001145772__chr16__1|NM_001145773__chr16__1|NM_201524__chr16__1|NM_201525__chr16__1|NM_001145774__chr16__1|NM_001290144__chr16__1
ADGRG2__chrX	NM_001079858__chrX__1|NM_001079859__chrX__1|NM_001079860__chrX__1|NM_001184833__chrX__1|NM_001184834__chrX__1|NM_001184835__chrX__1|NM_001184836__chrX__1|NM_001184837__chrX__1|NM_005756__chrX__1
ADGRG3__chr16	NM_001308360__chr16__1|NM_170776__chr16__1
ADGRG4__chrX	NM_153834__chrX__1
ADGRG5__chr16	NM_001304376__chr16__1|NM_001318481__chr16__1|NM_153837__chr16__1
ADGRG6__chr6	NM_001032394__chr6__1|NM_001032395__chr6__1|NM_020455__chr6__1|NM_198569__chr6__1
ADGRG7__chr3	NM_032787__chr3__1|NM_001308362__chr3__1
ADGRL1__chr19	NM_001008701__chr19__1|NM_014921__chr19__1
ADGRL2__chr1	NM_001297704__chr1__1|NM_001297705__chr1__1|NM_001297706__chr1__1|NM_012302__chr1__1
ADGRL3-AS1__chr4	NR_110595__chr4__1
ADGRL3__chr4	NM_001322246__chr4__1|NM_001322402__chr4__1|NM_015236__chr4__1
ADGRL4__chr1	NM_022159__chr1__1
ADGRV1__chr5	NM_032119__chr5__1|NR_003149__chr5__1
ADH1A__chr4	NM_000667__chr4__1
ADH1B__chr4	NM_000668__chr4__1|NM_001286650__chr4__1
ADH1C__chr4	NM_000669__chr4__1|NR_133005__chr4__1
ADH4__chr4	NM_000670__chr4__1|NM_001306171__chr4__1|NM_001306172__chr4__1
ADH5__chr4	NM_000671__chr4__1
ADH6__chr4	NM_001102470__chr4__1|NR_132990__chr4__1|NM_000672__chr4__1
ADH7__chr4	NM_001166504__chr4__1|NM_000673__chr4__1
ADHFE1__chr8	NM_144650__chr8__1
ADI1__chr2	NM_001306077__chr2__1|NM_018269__chr2__1
ADI1__chr2_KI270769v1_alt	NM_001306077__chr2_KI270769v1_alt__1|NM_018269__chr2_KI270769v1_alt__1
ADIG__chr20	NM_001018082__chr20__1|NR_130907__chr20__1
ADIPOQ-AS1__chr3	NR_046662__chr3__1
ADIPOQ__chr3	NM_001177800__chr3__1|NM_004797__chr3__1
ADIPOR1__chr1	NM_001290553__chr1__1|NM_001290557__chr1__1|NM_015999__chr1__1|NM_001290629__chr1__1
ADIPOR2__chr12	NM_024551__chr12__1
ADIRF__chr10	NM_006829__chr10__1
ADK__chr10	NM_001202450__chr10__1|NM_006721__chr10__1|NM_001123__chr10__1|NM_001202449__chr10__1
ADM2__chr22	NM_001253845__chr22__1
ADM5__chr19	NM_001101340__chr19__1
ADM__chr11	NM_001124__chr11__1
ADNP-AS1__chr20	NR_110007__chr20__1|NR_110008__chr20__1|NR_110009__chr20__1
ADNP2__chr18	NM_014913__chr18__1
ADNP__chr20	NM_001282532__chr20__1|NM_001282531__chr20__1|NM_015339__chr20__1|NM_181442__chr20__1
ADORA1__chr1	NM_000674__chr1__1|NM_001048230__chr1__1
ADORA2A-AS1__chr22	NR_028484__chr22__1|NR_028483__chr22__1
ADORA2A__chr22	NM_001278500__chr22__1|NM_000675__chr22__1|NM_001278499__chr22__1|NR_103543__chr22__1|NR_103544__chr22__1|NM_001278497__chr22__1|NM_001278498__chr22__1
ADORA2B__chr17	NM_000676__chr17__1
ADORA3__chr1	NM_000677__chr1__1|NM_001302678__chr1__1|NM_001302679__chr1__1
ADO__chr10	NM_032804__chr10__1
ADPGK-AS1__chr15	NR_040107__chr15__1
ADPGK__chr15	NM_031284__chr15__1|NR_023318__chr15__1|NR_023319__chr15__1
ADPRHL1__chr13	NM_199162__chr13__1|NM_138430__chr13__1
ADPRHL2__chr1	NM_017825__chr1__1
ADPRH__chr3	NM_001125__chr3__1|NM_001291949__chr3__1|NM_001291950__chr3__1
ADPRM__chr17	NM_020233__chr17__1
ADRA1A__chr8	NM_001322503__chr8__1|NM_033303__chr8__1|NR_136343__chr8__1|NM_001322502__chr8__1|NM_033302__chr8__1|NM_033304__chr8__1|NM_000680__chr8__1|NM_001322504__chr8__1
ADRA1B__chr5	NM_000679__chr5__1
ADRA1D__chr20	NM_000678__chr20__1
ADRA2A__chr10	NM_000681__chr10__1
ADRA2B__chr2	NM_000682__chr2__1
ADRA2C__chr4	NM_000683__chr4__1
ADRB1__chr10	NM_000684__chr10__1
ADRB2__chr5	NM_000024__chr5__1
ADRB3__chr8	NM_000025__chr8__1
ADRBK1__chr11	NM_001619__chr11__1
ADRBK2__chr22	NM_005160__chr22__1
ADRM1__chr20	NM_001281437__chr20__1|NM_001281438__chr20__1|NM_007002__chr20__1|NM_175573__chr20__1
ADSL__chr22	NM_000026__chr22__1|NM_001123378__chr22__1|NM_001317923__chr22__1|NR_134256__chr22__1
ADSSL1__chr14	NM_152328__chr14__1|NM_001320424__chr14__1|NM_199165__chr14__1
ADSS__chr1	NM_001126__chr1__1
ADTRP__chr6	NM_001143948__chr6__1|NM_032744__chr6__1
AEBP1__chr7	NM_001129__chr7__1
AEBP2__chr12	NM_001114176__chr12__1|NM_153207__chr12__1|NM_001267043__chr12__1
AEN__chr15	NM_022767__chr15__1
AES__chr19	NM_001130__chr19__1|NM_198970__chr19__1|NM_198969__chr19__1
AFAP1-AS1__chr4	NR_026892__chr4__1
AFAP1L1__chr5	NM_001323063__chr5__1|NM_001146337__chr5__1|NM_001323062__chr5__1|NM_152406__chr5__1
AFAP1L2__chr10	NM_001001936__chr10__1|NM_001287824__chr10__1|NM_032550__chr10__1
AFAP1__chr4	NM_001134647__chr4__1|NM_198595__chr4__1
AFF1__chr4	NM_001166693__chr4__1|NM_001313959__chr4__1|NM_001313960__chr4__1|NM_005935__chr4__1
AFF2__chrX	NM_001169122__chrX__1|NM_001169123__chrX__1|NM_001169124__chrX__1|NM_001169125__chrX__1|NM_002025__chrX__1|NM_001170628__chrX__1
AFF3__chr2	NM_001025108__chr2__1|NM_002285__chr2__1
AFF4__chr5	NM_014423__chr5__1
AFG3L1P__chr16	NR_003226__chr16__1|NR_003227__chr16__1|NR_003228__chr16__1
AFG3L2__chr18	NM_006796__chr18__1
AFMID__chr17	NR_027083__chr17__1|NM_001010982__chr17__1|NM_001145526__chr17__1
AFM__chr4	NM_001133__chr4__1
AFP__chr4	NM_001134__chr4__1
AFTPH__chr2	NM_001002243__chr2__1|NM_017657__chr2__1|NM_203437__chr2__1
AGAP1-IT1__chr2	NR_131900__chr2__1
AGAP11__chr10	NM_133447__chr10__1
AGAP12P__chr10	NR_029396__chr10__1
AGAP1__chr2	NM_001037131__chr2__1|NM_014914__chr2__1|NM_001244888__chr2__1
AGAP2-AS1__chr12	NR_027032__chr12__1
AGAP2__chr12	NM_001122772__chr12__1|NM_014770__chr12__1
AGAP3__chr7	NM_001281300__chr7__1|NM_031946__chr7__1|NM_001042535__chr7__1|NM_001308304__chr7__1|NM_001308305__chr7__1
AGAP4__chr10	NM_001276343__chr10__1|NM_133446__chr10__1|NM_001291379__chr10__1
AGAP5__chr10	NM_001144000__chr10__1
AGAP6__chr10	NM_001077665__chr10__1
AGAP7P__chr10	NR_126580__chr10__1
AGAP9__chr10	NM_001190810__chr10__1
AGA__chr4	NM_000027__chr4__1|NM_001171988__chr4__1|NR_033655__chr4__1
AGBL1-AS1__chr15	NR_046012__chr15__1
AGBL1__chr15	NM_152336__chr15__1
AGBL2__chr11	NM_024783__chr11__1
AGBL3__chr7	NM_178563__chr7__1
AGBL4-IT1__chr1	NR_046839__chr1__1
AGBL4__chr1	NM_032785__chr1__1|NM_001323573__chr1__1|NM_001323574__chr1__1|NM_001323575__chr1__1|NR_136623__chr1__1
AGBL5-AS1__chr2	NR_046730__chr2__1
AGBL5__chr2	NM_001035507__chr2__1|NM_021831__chr2__1|NR_104246__chr2__1
AGER__chr6	NM_001136__chr6__1|NM_001206929__chr6__1|NM_001206932__chr6__1|NM_001206934__chr6__1|NM_001206936__chr6__1|NM_001206940__chr6__1|NM_001206954__chr6__1|NM_001206966__chr6__1|NM_172197__chr6__1|NR_038190__chr6__1
AGER__chr6_GL000250v2_alt	NM_001136__chr6_GL000250v2_alt__1|NM_001206929__chr6_GL000250v2_alt__1|NM_001206932__chr6_GL000250v2_alt__1|NM_001206934__chr6_GL000250v2_alt__1|NM_001206936__chr6_GL000250v2_alt__1|NM_001206940__chr6_GL000250v2_alt__1|NM_001206954__chr6_GL000250v2_alt__1|NM_001206966__chr6_GL000250v2_alt__1|NM_172197__chr6_GL000250v2_alt__1|NR_038190__chr6_GL000250v2_alt__1
AGER__chr6_GL000251v2_alt	NM_001136__chr6_GL000251v2_alt__1|NM_001206929__chr6_GL000251v2_alt__1|NM_001206932__chr6_GL000251v2_alt__1|NM_001206934__chr6_GL000251v2_alt__1|NM_001206936__chr6_GL000251v2_alt__1|NM_001206940__chr6_GL000251v2_alt__1|NM_001206954__chr6_GL000251v2_alt__1|NM_001206966__chr6_GL000251v2_alt__1|NM_172197__chr6_GL000251v2_alt__1|NR_038190__chr6_GL000251v2_alt__1
AGER__chr6_GL000253v2_alt	NM_001136__chr6_GL000253v2_alt__1|NM_001206929__chr6_GL000253v2_alt__1|NM_001206932__chr6_GL000253v2_alt__1|NM_001206934__chr6_GL000253v2_alt__1|NM_001206936__chr6_GL000253v2_alt__1|NM_001206940__chr6_GL000253v2_alt__1|NM_001206954__chr6_GL000253v2_alt__1|NM_001206966__chr6_GL000253v2_alt__1|NM_172197__chr6_GL000253v2_alt__1|NR_038190__chr6_GL000253v2_alt__1
AGER__chr6_GL000254v2_alt	NM_001136__chr6_GL000254v2_alt__1|NM_001206929__chr6_GL000254v2_alt__1|NM_001206932__chr6_GL000254v2_alt__1|NM_001206934__chr6_GL000254v2_alt__1|NM_001206936__chr6_GL000254v2_alt__1|NM_001206940__chr6_GL000254v2_alt__1|NM_001206954__chr6_GL000254v2_alt__1|NM_001206966__chr6_GL000254v2_alt__1|NM_172197__chr6_GL000254v2_alt__1|NR_038190__chr6_GL000254v2_alt__1
AGER__chr6_GL000255v2_alt	NM_001136__chr6_GL000255v2_alt__1|NM_001206929__chr6_GL000255v2_alt__1|NM_001206932__chr6_GL000255v2_alt__1|NM_001206934__chr6_GL000255v2_alt__1|NM_001206936__chr6_GL000255v2_alt__1|NM_001206940__chr6_GL000255v2_alt__1|NM_001206954__chr6_GL000255v2_alt__1|NM_001206966__chr6_GL000255v2_alt__1|NM_172197__chr6_GL000255v2_alt__1|NR_038190__chr6_GL000255v2_alt__1
AGER__chr6_GL000256v2_alt	NM_001136__chr6_GL000256v2_alt__1|NM_001206929__chr6_GL000256v2_alt__1|NM_001206932__chr6_GL000256v2_alt__1|NM_001206934__chr6_GL000256v2_alt__1|NM_001206936__chr6_GL000256v2_alt__1|NM_001206940__chr6_GL000256v2_alt__1|NM_001206954__chr6_GL000256v2_alt__1|NM_001206966__chr6_GL000256v2_alt__1|NM_172197__chr6_GL000256v2_alt__1|NR_038190__chr6_GL000256v2_alt__1
AGFG1__chr2	NM_001135187__chr2__1|NM_001135188__chr2__1|NM_001135189__chr2__1|NM_004504__chr2__1
AGFG2__chr7	NM_006076__chr7__1
AGGF1__chr5	NM_018046__chr5__1
AGK__chr7	NM_018238__chr7__1
AGK__chr7_GL383534v2_alt	NM_018238__chr7_GL383534v2_alt__1
AGL__chr1	NM_000642__chr1__1|NM_000028__chr1__1|NM_000643__chr1__1|NM_000644__chr1__1|NM_000646__chr1__1|NM_000645__chr1__1
AGMAT__chr1	NM_024758__chr1__1
AGMO__chr7	NM_001004320__chr7__1
AGO1__chr1	NM_001317123__chr1__1|NM_001317122__chr1__1|NM_012199__chr1__1
AGO2__chr8	NM_001164623__chr8__1|NM_012154__chr8__1
AGO3__chr1	NM_024852__chr1__1|NM_177422__chr1__1
AGO4__chr1	NM_017629__chr1__1
AGPAT1__chr6	NM_006411__chr6__1|NM_032741__chr6__1
AGPAT1__chr6_GL000250v2_alt	NM_006411__chr6_GL000250v2_alt__1|NM_032741__chr6_GL000250v2_alt__1
AGPAT1__chr6_GL000251v2_alt	NM_006411__chr6_GL000251v2_alt__1|NM_032741__chr6_GL000251v2_alt__1
AGPAT1__chr6_GL000253v2_alt	NM_006411__chr6_GL000253v2_alt__1|NM_032741__chr6_GL000253v2_alt__1
AGPAT1__chr6_GL000254v2_alt	NM_006411__chr6_GL000254v2_alt__1|NM_032741__chr6_GL000254v2_alt__1
AGPAT1__chr6_GL000255v2_alt	NM_006411__chr6_GL000255v2_alt__1|NM_032741__chr6_GL000255v2_alt__1
AGPAT1__chr6_GL000256v2_alt	NM_006411__chr6_GL000256v2_alt__1|NM_032741__chr6_GL000256v2_alt__1
AGPAT2__chr9	NM_001012727__chr9__1|NM_006412__chr9__1
AGPAT3__chr21	NM_020132__chr21__1|NM_001037553__chr21__1
AGPAT4-IT1__chr6	NR_024277__chr6__1
AGPAT4__chr6	NM_020133__chr6__1
AGPAT5__chr8	NM_018361__chr8__1
AGPS__chr2	NM_003659__chr2__1
AGR2__chr7	NM_006408__chr7__1
AGR3__chr7	NM_176813__chr7__1
AGRN__chr1	NM_001305275__chr1__1|NM_198576__chr1__1
AGRP__chr16	NM_001138__chr16__1
AGTPBP1__chr9	NM_001286715__chr9__1|NM_001286717__chr9__1|NM_015239__chr9__1
AGTR1__chr3	NM_000685__chr3__1|NM_004835__chr3__1|NM_009585__chr3__1|NM_031850__chr3__1|NM_032049__chr3__1
AGTR2__chrX	NM_000686__chrX__1
AGTRAP__chr1	NM_001040194__chr1__1|NM_001040195__chr1__1|NM_001040196__chr1__1|NM_001040197__chr1__1|NM_020350__chr1__1
AGT__chr1	NM_000029__chr1__1
AGXT2__chr5	NM_001306173__chr5__1|NM_031900__chr5__1
AGXT__chr2	NM_000030__chr2__1
AHCTF1P1__chr2	NR_077058__chr2__1
AHCTF1__chr1	NM_015446__chr1__1|NM_001323342__chr1__1|NM_001323343__chr1__1|NR_136586__chr1__1
AHCYL1__chr1	NM_001242673__chr1__1|NM_006621__chr1__1|NM_001242674__chr1__1|NM_001242675__chr1__1|NM_001242676__chr1__1
AHCYL2__chr7	NM_001130720__chr7__1|NM_015328__chr7__1|NM_001130723__chr7__1|NM_001130722__chr7__1
AHCY__chr20	NM_001161766__chr20__1|NM_001322084__chr20__1|NM_001322085__chr20__1|NM_001322086__chr20__1|NM_000687__chr20__1
AHDC1__chr1	NM_001029882__chr1__1
AHI1__chr6	NM_001134830__chr6__1|NM_001134831__chr6__1|NM_017651__chr6__1|NM_001134832__chr6__1
AHNAK2__chr14	NM_138420__chr14__1
AHNAK__chr11	NM_024060__chr11__1|NM_001620__chr11__1
AHRR__chr5	NM_001242412__chr5__1|NM_020731__chr5__1
AHR__chr7	NM_001621__chr7__1
AHSA1__chr14	NM_012111__chr14__1|NM_001321441__chr14__1
AHSA2__chr2	NM_001321300__chr2__1|NM_001321301__chr2__1|NM_001321302__chr2__1|NM_001321303__chr2__1|NM_001321304__chr2__1|NM_152392__chr2__1|NM_001321305__chr2__1
AHSG__chr3	NM_001622__chr3__1
AHSP__chr16	NM_001318221__chr16__1|NM_016633__chr16__1|NM_001318222__chr16__1
AICDA__chr12	NM_020661__chr12__1
AIDA__chr1	NM_022831__chr1__1
AIF1L__chr9	NM_001185095__chr9__1|NM_001185096__chr9__1|NM_031426__chr9__1|NR_033701__chr9__1
AIF1__chr6	NM_001318970__chr6__1|NM_001623__chr6__1|NM_032955__chr6__1
AIF1__chr6_GL000251v2_alt	NM_001318970__chr6_GL000251v2_alt__1|NM_001623__chr6_GL000251v2_alt__1|NM_032955__chr6_GL000251v2_alt__1
AIF1__chr6_GL000252v2_alt	NM_001318970__chr6_GL000252v2_alt__1|NM_001623__chr6_GL000252v2_alt__1|NM_032955__chr6_GL000252v2_alt__1
AIF1__chr6_GL000254v2_alt	NM_001318970__chr6_GL000254v2_alt__1|NM_001623__chr6_GL000254v2_alt__1|NM_032955__chr6_GL000254v2_alt__1
AIF1__chr6_GL000255v2_alt	NM_001318970__chr6_GL000255v2_alt__1|NM_001623__chr6_GL000255v2_alt__1|NM_032955__chr6_GL000255v2_alt__1
AIF1__chr6_GL000256v2_alt	NM_001318970__chr6_GL000256v2_alt__1|NM_001623__chr6_GL000256v2_alt__1|NM_032955__chr6_GL000256v2_alt__1
AIFM1__chrX	NM_001130847__chrX__1|NM_004208__chrX__1|NM_145812__chrX__1|NR_132647__chrX__1|NM_001130846__chrX__1
AIFM2__chr10	NM_001198696__chr10__1|NM_032797__chr10__1
AIFM3__chr22	NM_001018060__chr22__1|NM_144704__chr22__1|NM_001146288__chr22__1|NR_027464__chr22__1
AIG1__chr6	NM_001286587__chr6__1|NM_001286588__chr6__1|NM_001286589__chr6__1|NM_016108__chr6__1
AIM1L__chr1	NM_001039775__chr1__1
AIM1__chr6	NM_001624__chr6__1
AIM2__chr1	NM_004833__chr1__1
AIMP1__chr4	NM_001142415__chr4__1|NM_004757__chr4__1|NM_001142416__chr4__1
AIMP2__chr7	NM_006303__chr7__1
AIPL1__chr17	NM_001285402__chr17__1|NM_001033054__chr17__1|NM_001033055__chr17__1|NM_001285399__chr17__1|NM_001285400__chr17__1|NM_001285401__chr17__1|NM_014336__chr17__1|NM_001285403__chr17__1
AIP__chr11	NM_001302960__chr11__1|NM_003977__chr11__1|NM_001302959__chr11__1
AIRE__chr21	NM_000383__chr21__1
AIRN__chr6	NR_047511__chr6__1|NR_047514__chr6__1
AJAP1__chr1	NM_001042478__chr1__1|NM_018836__chr1__1
AJUBA__chr14	NM_198086__chr14__1|NM_032876__chr14__1|NM_001289097__chr14__1
AK1__chr9	NM_001318122__chr9__1|NM_000476__chr9__1|NM_001318121__chr9__1
AK2__chr1	NM_001199199__chr1__1|NM_001319139__chr1__1|NM_001319141__chr1__1|NM_001319142__chr1__1|NM_013411__chr1__1|NR_134976__chr1__1|NM_001319140__chr1__1|NM_001625__chr1__1|NM_001319143__chr1__1
AK3__chr9	NM_001199856__chr9__1|NM_001199852__chr9__1|NM_016282__chr9__1|NM_001199855__chr9__1|NM_001199853__chr9__1
AK4__chr1	NM_203464__chr1__1|NM_001005353__chr1__1|NM_013410__chr1__1
AK5__chr1	NM_174858__chr1__1|NM_012093__chr1__1
AK6__chr5	NM_016283__chr5__1|NM_001015891__chr5__1
AK6__chr5_GL339449v2_alt	NM_016283__chr5_GL339449v2_alt__1|NM_001015891__chr5_GL339449v2_alt__1
AK7__chr14	NM_152327__chr14__1
AK8__chr9	NM_001317958__chr9__1|NM_001317959__chr9__1|NM_152572__chr9__1
AK9__chr6	NM_001145128__chr6__1|NM_145025__chr6__1
AKAIN1__chr18	NM_001145194__chr18__1
AKAP10__chr17	NM_007202__chr17__1
AKAP11__chr13	NM_016248__chr13__1
AKAP12__chr6	NM_005100__chr6__1|NM_144497__chr6__1
AKAP13__chr15	NM_006738__chr15__1|NM_007200__chr15__1|NM_001270546__chr15__1
AKAP14__chrX	NM_001008535__chrX__1|NM_001008534__chrX__1|NM_178813__chrX__1
AKAP17A__chrX	NR_027383__chrX__1|NM_005088__chrX__1
AKAP17A__chrY	NR_027383__chrY__1|NM_005088__chrY__1
AKAP1__chr17	NM_003488__chr17__1|NM_001242903__chr17__1|NM_001242902__chr17__1
AKAP2__chr9	NM_001004065__chr9__1|NM_001198656__chr9__1|NM_001136562__chr9__1
AKAP3__chr12	NM_001278309__chr12__1|NM_006422__chr12__1
AKAP4__chrX	NM_003886__chrX__1|NM_139289__chrX__1
AKAP5__chr14	NM_004857__chr14__1
AKAP6__chr14	NM_004274__chr14__1
AKAP7__chr6	NM_016377__chr6__1|NM_004842__chr6__1|NM_138633__chr6__1
AKAP8L__chr19	NM_001291478__chr19__1|NM_014371__chr19__1|NR_111971__chr19__1
AKAP8__chr19	NM_005858__chr19__1
AKAP9__chr7	NM_005751__chr7__1|NM_147185__chr7__1
AKIP1__chr11	NM_001206646__chr11__1|NM_001206647__chr11__1|NM_001206648__chr11__1|NM_020642__chr11__1|NR_045417__chr11__1|NR_045418__chr11__1
AKIRIN1__chr1	NM_001136275__chr1__1|NM_024595__chr1__1
AKIRIN2__chr6	NM_018064__chr6__1
AKNAD1__chr1	NM_152763__chr1__1|NR_049760__chr1__1
AKNA__chr9	NM_001317950__chr9__1|NM_001317952__chr9__1|NM_030767__chr9__1
AKR1A1__chr1	NM_001202413__chr1__1|NM_001202414__chr1__1|NM_006066__chr1__1|NM_153326__chr1__1
AKR1B10__chr7	NM_020299__chr7__1
AKR1B15__chr7	NM_001080538__chr7__1
AKR1B1__chr7	NM_001628__chr7__1
AKR1C1__chr10	NM_001353__chr10__1
AKR1C2__chr10	NM_001354__chr10__1|NM_205845__chr10__1|NM_001135241__chr10__1|NM_001321027__chr10__1
